DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 1,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 2,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 3,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 4,DespBala,VelocidadBala,EstatusAire,EstatuSuelo,partida 5
-650,-457,0,1,,-650,-457,0,1,,-650,-394,0,1,,-650,-775,0,1,,-650,-439,0,1,
-650,-457,0,1,,-650,-457,0,1,,-650,-394,0,1,,-650,-775,0,1,,-650,-439,0,1,
-635,-457,0,1,,-635,-457,0,1,,-637,-394,0,1,,-625,-775,0,1,,-636,-439,0,1,
-620,-457,0,1,,-620,-457,0,1,,-624,-394,0,1,,-599,-775,0,1,,-621,-439,0,1,
-605,-457,0,1,,-605,-457,0,1,,-611,-394,0,1,,-573,-775,0,1,,-607,-439,0,1,
-590,-457,0,1,,-590,-457,0,1,,-598,-394,0,1,,-547,-775,0,1,,-592,-439,0,1,
-574,-457,0,1,,-574,-457,0,1,,-585,-394,0,1,,-521,-775,0,1,,-577,-439,0,1,
-559,-457,0,1,,-559,-457,0,1,,-572,-394,0,1,,-495,-775,0,1,,-563,-439,0,1,
-544,-457,0,1,,-544,-457,0,1,,-559,-394,0,1,,-470,-775,0,1,,-548,-439,0,1,
-529,-457,0,1,,-529,-457,0,1,,-545,-394,0,1,,-444,-775,0,1,,-533,-439,0,1,
-513,-457,0,1,,-513,-457,0,1,,-532,-394,0,1,,-418,-775,0,1,,-519,-439,0,1,
-498,-457,0,1,,-498,-457,0,1,,-519,-394,0,1,,-392,-775,0,1,,-504,-439,0,1,
-483,-457,0,1,,-483,-457,0,1,,-506,-394,0,1,,-366,-775,0,1,,-490,-439,0,1,
-468,-457,0,1,,-468,-457,0,1,,-493,-394,0,1,,-340,-775,0,1,,-475,-439,0,1,
-452,-457,0,1,,-452,-457,0,1,,-480,-394,0,1,,-315,-775,0,1,,-460,-439,0,1,
-437,-457,0,1,,-437,-457,0,1,,-467,-394,0,1,,-289,-775,0,1,,-446,-439,0,1,
-422,-457,0,1,,-422,-457,0,1,,-454,-394,0,1,,-263,-775,0,1,,-431,-439,0,1,
-407,-457,0,1,,-407,-457,0,1,,-440,-394,0,1,,-237,-775,0,1,,-416,-439,0,1,
-392,-457,0,1,,-392,-457,0,1,,-427,-394,0,1,,-211,-775,0,1,,-402,-439,0,1,
-376,-457,0,1,,-376,-457,0,1,,-414,-394,0,1,,-185,-775,0,1,,-387,-439,0,1,
-361,-457,0,1,,-361,-457,0,1,,-401,-394,0,1,,-160,-775,0,1,,-372,-439,0,1,
-346,-457,0,1,,-346,-457,0,1,,-388,-394,0,1,,-134,-775,0,1,,-358,-439,0,1,
-331,-457,0,1,,-331,-457,0,1,,-375,-394,0,1,,-108,-775,1,0,,-343,-439,0,1,
-315,-457,0,1,,-315,-457,0,1,,-362,-394,0,1,,-82,-775,1,0,,-329,-439,0,1,
-300,-457,0,1,,-300,-457,0,1,,-348,-394,0,1,,-56,-775,1,0,,-314,-439,0,1,
-285,-457,0,1,,-285,-457,0,1,,-335,-394,0,1,,-30,-775,1,0,,-299,-439,0,1,
-270,-457,0,1,,-270,-457,0,1,,-322,-394,0,1,,-5,-775,1,0,,-285,-439,0,1,
-254,-457,0,1,,-254,-457,0,1,,-309,-394,0,1,,21,-775,1,0,,-270,-439,0,1,
-239,-457,0,1,,-239,-457,0,1,,-296,-394,0,1,,47,-775,1,0,,-255,-439,0,1,
-224,-457,0,1,,-224,-457,0,1,,-283,-394,0,1,,50,-775,1,0,,-241,-439,0,1,
-209,-457,0,1,,-209,-457,0,1,,-270,-394,0,1,,-650,-704,1,0,,-226,-439,0,1,
-193,-457,0,1,,-193,-457,0,1,,-257,-394,0,1,,-650,-704,1,0,,-212,-439,0,1,
-178,-457,0,1,,-178,-457,0,1,,-243,-394,0,1,,-627,-704,1,0,,-197,-439,1,0,
-163,-457,0,1,,-163,-457,0,1,,-230,-394,0,1,,-604,-704,1,0,,-182,-439,1,0,
-148,-457,0,1,,-148,-457,0,1,,-217,-394,0,1,,-580,-704,1,0,,-168,-439,1,0,
-133,-457,1,0,,-133,-457,1,0,,-204,-394,0,1,,-557,-704,1,0,,-153,-439,1,0,
-117,-457,1,0,,-117,-457,1,0,,-191,-394,0,1,,-533,-704,1,0,,-138,-439,1,0,
-102,-457,1,0,,-102,-457,1,0,,-178,-394,0,1,,-510,-704,1,0,,-124,-439,1,0,
-87,-457,1,0,,-87,-457,1,0,,-165,-394,0,1,,-486,-704,1,0,,-109,-439,1,0,
-72,-457,1,0,,-72,-457,1,0,,-151,-394,0,1,,-463,-704,0,1,,-94,-439,1,0,
-56,-457,1,0,,-56,-457,1,0,,-138,-394,1,0,,-439,-704,0,1,,-80,-439,1,0,
-41,-457,1,0,,-41,-457,1,0,,-125,-394,1,0,,-416,-704,0,1,,-65,-439,1,0,
-26,-457,1,0,,-26,-457,1,0,,-112,-394,1,0,,-392,-704,0,1,,-51,-439,1,0,
-11,-457,1,0,,-11,-457,1,0,,-99,-394,1,0,,-369,-704,0,1,,-36,-439,1,0,
5,-457,1,0,,5,-457,1,0,,-86,-394,1,0,,-345,-704,0,1,,-21,-439,1,0,
20,-457,1,0,,20,-457,1,0,,-73,-394,1,0,,-322,-704,0,1,,-7,-439,1,0,
35,-457,1,0,,35,-457,1,0,,-60,-394,1,0,,-298,-704,0,1,,8,-439,1,0,
50,-457,1,0,,50,-457,1,0,,-46,-394,1,0,,-275,-704,0,1,,23,-439,1,0,
-650,-487,1,0,,-650,-487,1,0,,-33,-394,1,0,,-252,-704,0,1,,37,-439,1,0,
-650,-487,1,0,,-650,-487,1,0,,-20,-394,1,0,,-228,-704,0,1,,50,-439,1,0,
-634,-487,1,0,,-634,-487,1,0,,-7,-394,1,0,,-205,-704,1,0,,-650,-678,1,0,
-618,-487,1,0,,-618,-487,1,0,,6,-394,1,0,,-181,-704,1,0,,-650,-678,1,0,
-602,-487,1,0,,-602,-487,1,0,,19,-394,1,0,,-158,-704,1,0,,-628,-678,1,0,
-586,-487,1,0,,-586,-487,1,0,,32,-394,1,0,,-134,-704,1,0,,-605,-678,1,0,
-569,-487,1,0,,-569,-487,1,0,,46,-394,1,0,,-111,-704,1,0,,-583,-678,0,1,
-553,-487,1,0,,-553,-487,1,0,,50,-394,1,0,,-87,-704,1,0,,-560,-678,1,0,
-537,-487,0,1,,-537,-487,0,1,,-650,-730,1,0,,-64,-704,1,0,,-537,-678,1,0,
-521,-487,0,1,,-521,-487,0,1,,-650,-730,1,0,,-40,-704,1,0,,-515,-678,1,0,
-504,-487,0,1,,-504,-487,0,1,,-626,-730,1,0,,-17,-704,1,0,,-492,-678,1,0,
-488,-487,0,1,,-488,-487,0,1,,-602,-730,1,0,,7,-704,1,0,,-470,-678,1,0,
-472,-487,0,1,,-472,-487,0,1,,-577,-730,1,0,,30,-704,1,0,,-447,-678,1,0,
-456,-487,0,1,,-456,-487,0,1,,-553,-730,1,0,,50,-704,1,0,,-424,-678,1,0,
-439,-487,0,1,,-439,-487,0,1,,-529,-730,0,1,,-650,-563,1,0,,-402,-678,1,0,
-423,-487,0,1,,-423,-487,0,1,,-504,-730,0,1,,-650,-563,1,0,,-379,-678,1,0,
-407,-487,0,1,,-407,-487,0,1,,-480,-730,0,1,,-632,-563,1,0,,-357,-678,1,0,
-391,-487,0,1,,-391,-487,0,1,,-456,-730,0,1,,-613,-563,1,0,,-334,-678,1,0,
-375,-487,0,1,,-375,-487,0,1,,-431,-730,0,1,,-594,-563,1,0,,-311,-678,1,0,
-358,-487,0,1,,-358,-487,0,1,,-407,-730,0,1,,-575,-563,1,0,,-289,-678,1,0,
-342,-487,0,1,,-342,-487,0,1,,-383,-730,0,1,,-557,-563,1,0,,-266,-678,1,0,
-326,-487,0,1,,-326,-487,0,1,,-358,-730,0,1,,-538,-563,1,0,,-244,-678,1,0,
-310,-487,0,1,,-310,-487,0,1,,-334,-730,0,1,,-519,-563,0,1,,-221,-678,1,0,
-293,-487,0,1,,-293,-487,0,1,,-310,-730,0,1,,-500,-563,0,1,,-198,-678,1,0,
-277,-487,0,1,,-277,-487,0,1,,-285,-730,0,1,,-482,-563,0,1,,-176,-678,1,0,
-261,-487,0,1,,-261,-487,0,1,,-261,-730,0,1,,-463,-563,0,1,,-153,-678,1,0,
-245,-487,0,1,,-245,-487,0,1,,-237,-730,0,1,,-444,-563,0,1,,-131,-678,0,1,
-228,-487,0,1,,-228,-487,0,1,,-212,-730,0,1,,-425,-563,0,1,,-108,-678,0,1,
-212,-487,0,1,,-212,-487,0,1,,-188,-730,0,1,,-407,-563,0,1,,-85,-678,0,1,
-196,-487,0,1,,-196,-487,0,1,,-164,-730,1,0,,-388,-563,0,1,,-63,-678,0,1,
-180,-487,0,1,,-180,-487,0,1,,-139,-730,1,0,,-369,-563,0,1,,-40,-678,0,1,
-163,-487,0,1,,-163,-487,0,1,,-115,-730,1,0,,-350,-563,0,1,,,,,,
-147,-487,0,1,,-147,-487,0,1,,-91,-730,1,0,,-331,-563,0,1,,,,,,
-131,-487,1,0,,-131,-487,1,0,,-66,-730,1,0,,-313,-563,0,1,,,,,,
-115,-487,1,0,,-115,-487,1,0,,-42,-730,1,0,,-294,-563,0,1,,,,,,
-99,-487,1,0,,-99,-487,1,0,,-18,-730,1,0,,-275,-563,0,1,,,,,,
-82,-487,1,0,,-82,-487,1,0,,7,-730,1,0,,-256,-563,0,1,,,,,,
-66,-487,1,0,,-66,-487,1,0,,31,-730,1,0,,-238,-563,0,1,,,,,,
-50,-487,1,0,,-50,-487,1,0,,50,-730,1,0,,-219,-563,1,0,,,,,,
-34,-487,1,0,,-34,-487,1,0,,-650,-786,1,0,,-200,-563,1,0,,,,,,
-17,-487,1,0,,-17,-487,1,0,,-650,-786,1,0,,-181,-563,1,0,,,,,,
-1,-487,1,0,,-1,-487,1,0,,-624,-786,1,0,,-163,-563,1,0,,,,,,
15,-487,1,0,,15,-487,1,0,,-598,-786,1,0,,-144,-563,1,0,,,,,,
31,-487,1,0,,31,-487,1,0,,-572,-786,1,0,,-125,-563,1,0,,,,,,
48,-487,1,0,,48,-487,1,0,,-546,-786,1,0,,-106,-563,1,0,,,,,,
50,-487,1,0,,50,-487,1,0,,-519,-786,1,0,,-88,-563,1,0,,,,,,
-650,-302,1,0,,-650,-302,1,0,,-493,-786,1,0,,-69,-563,1,0,,,,,,
-650,-302,1,0,,-650,-302,1,0,,-467,-786,1,0,,-50,-563,1,0,,,,,,
-640,-302,1,0,,-640,-302,1,0,,-441,-786,0,1,,-31,-563,1,0,,,,,,
-630,-302,1,0,,-630,-302,1,0,,-415,-786,0,1,,-12,-563,1,0,,,,,,
-620,-302,1,0,,-620,-302,1,0,,-388,-786,0,1,,6,-563,1,0,,,,,,
-610,-302,1,0,,-610,-302,1,0,,-362,-786,0,1,,25,-563,1,0,,,,,,
-600,-302,1,0,,-600,-302,1,0,,-336,-786,0,1,,44,-563,1,0,,,,,,
-590,-302,1,0,,-590,-302,1,0,,-310,-786,0,1,,50,-563,1,0,,,,,,
-580,-302,0,1,,-580,-302,0,1,,-284,-786,0,1,,-650,-796,1,0,,,,,,
-570,-302,0,1,,-570,-302,0,1,,-257,-786,0,1,,-650,-796,1,0,,,,,,
-560,-302,0,1,,-560,-302,0,1,,-231,-786,0,1,,-624,-796,1,0,,,,,,
-550,-302,0,1,,-550,-302,0,1,,-205,-786,0,1,,-597,-796,1,0,,,,,,
-540,-302,0,1,,-540,-302,0,1,,-179,-786,1,0,,-571,-796,1,0,,,,,,
-530,-302,0,1,,-530,-302,0,1,,-153,-786,1,0,,-544,-796,1,0,,,,,,
-520,-302,0,1,,-520,-302,0,1,,-126,-786,1,0,,-518,-796,0,1,,,,,,
-510,-302,0,1,,-510,-302,0,1,,-100,-786,1,0,,-491,-796,0,1,,,,,,
-499,-302,0,1,,-499,-302,0,1,,-74,-786,1,0,,-465,-796,0,1,,,,,,
-489,-302,0,1,,-489,-302,0,1,,-48,-786,1,0,,-438,-796,0,1,,,,,,
-479,-302,0,1,,-479,-302,0,1,,-22,-786,1,0,,-412,-796,0,1,,,,,,
-469,-302,0,1,,-469,-302,0,1,,5,-786,1,0,,-385,-796,0,1,,,,,,
-459,-302,0,1,,-459,-302,0,1,,31,-786,1,0,,-359,-796,0,1,,,,,,
-449,-302,0,1,,-449,-302,0,1,,50,-786,1,0,,-332,-796,0,1,,,,,,
-439,-302,0,1,,-439,-302,0,1,,-650,-756,1,0,,-306,-796,0,1,,,,,,
-429,-302,0,1,,-429,-302,0,1,,-650,-756,1,0,,-279,-796,0,1,,,,,,
-419,-302,0,1,,-419,-302,0,1,,-625,-756,1,0,,-253,-796,1,0,,,,,,
-409,-302,0,1,,-409,-302,0,1,,-600,-756,1,0,,-226,-796,1,0,,,,,,
-399,-302,0,1,,-399,-302,0,1,,-575,-756,1,0,,-199,-796,1,0,,,,,,
-389,-302,0,1,,-389,-302,0,1,,-550,-756,1,0,,-173,-796,1,0,,,,,,
-379,-302,0,1,,-379,-302,0,1,,-524,-756,1,0,,-146,-796,1,0,,,,,,
-369,-302,0,1,,-369,-302,0,1,,-499,-756,1,0,,-120,-796,1,0,,,,,,
-359,-302,0,1,,-359,-302,0,1,,-474,-756,1,0,,-93,-796,1,0,,,,,,
-348,-302,0,1,,-348,-302,0,1,,-449,-756,0,1,,-67,-796,1,0,,,,,,
-338,-302,0,1,,-338,-302,0,1,,-424,-756,0,1,,-40,-796,1,0,,,,,,
-328,-302,0,1,,-328,-302,0,1,,-398,-756,0,1,,-14,-796,1,0,,,,,,
-318,-302,0,1,,-318,-302,0,1,,-373,-756,0,1,,13,-796,1,0,,,,,,
-308,-302,0,1,,-308,-302,0,1,,-348,-756,1,0,,39,-796,1,0,,,,,,
-298,-302,0,1,,-298,-302,0,1,,-323,-756,1,0,,50,-796,1,0,,,,,,
-288,-302,0,1,,-288,-302,0,1,,-298,-756,1,0,,-650,-694,1,0,,,,,,
-278,-302,0,1,,-278,-302,0,1,,-272,-756,1,0,,-650,-694,1,0,,,,,,
-268,-302,0,1,,-268,-302,0,1,,-247,-756,1,0,,-627,-694,1,0,,,,,,
-258,-302,0,1,,-258,-302,0,1,,-222,-756,1,0,,-604,-694,1,0,,,,,,
-248,-302,0,1,,-248,-302,0,1,,-197,-756,1,0,,-581,-694,1,0,,,,,,
-238,-302,0,1,,-238,-302,0,1,,-172,-756,1,0,,-558,-694,1,0,,,,,,
-228,-302,0,1,,-228,-302,0,1,,-146,-756,1,0,,-535,-694,1,0,,,,,,
-218,-302,0,1,,-218,-302,0,1,,-121,-756,1,0,,-512,-694,1,0,,,,,,
-208,-302,0,1,,-208,-302,0,1,,-96,-756,1,0,,-489,-694,0,1,,,,,,
-197,-302,0,1,,-197,-302,0,1,,-71,-756,1,0,,-465,-694,0,1,,,,,,
-187,-302,0,1,,-187,-302,0,1,,-46,-756,1,0,,-442,-694,0,1,,,,,,
-177,-302,0,1,,-177,-302,0,1,,-20,-756,1,0,,-419,-694,0,1,,,,,,
-167,-302,0,1,,-167,-302,0,1,,5,-756,1,0,,-396,-694,0,1,,,,,,
-157,-302,0,1,,-157,-302,0,1,,30,-756,1,0,,-373,-694,0,1,,,,,,
-147,-302,0,1,,-147,-302,0,1,,50,-756,1,0,,-350,-694,0,1,,,,,,
-137,-302,1,0,,-137,-302,1,0,,-650,-476,1,0,,-327,-694,0,1,,,,,,
-127,-302,1,0,,-127,-302,1,0,,-650,-476,1,0,,-304,-694,0,1,,,,,,
-117,-302,1,0,,-117,-302,1,0,,-635,-476,1,0,,-280,-694,0,1,,,,,,
-107,-302,1,0,,-107,-302,1,0,,-619,-476,1,0,,-257,-694,0,1,,,,,,
-97,-302,1,0,,-97,-302,1,0,,-603,-476,1,0,,-234,-694,0,1,,,,,,
-87,-302,1,0,,-87,-302,1,0,,-587,-476,0,1,,-211,-694,0,1,,,,,,
-77,-302,1,0,,-77,-302,1,0,,-571,-476,0,1,,-188,-694,0,1,,,,,,
-67,-302,1,0,,-67,-302,1,0,,-555,-476,1,0,,-165,-694,0,1,,,,,,
-57,-302,1,0,,-57,-302,1,0,,-539,-476,1,0,,-142,-694,1,0,,,,,,
-46,-302,1,0,,-46,-302,1,0,,-524,-476,1,0,,-118,-694,1,0,,,,,,
-36,-302,1,0,,-36,-302,1,0,,-508,-476,1,0,,-95,-694,1,0,,,,,,
-26,-302,1,0,,-26,-302,1,0,,-492,-476,1,0,,-72,-694,1,0,,,,,,
-16,-302,1,0,,-16,-302,1,0,,-476,-476,1,0,,-49,-694,1,0,,,,,,
-6,-302,1,0,,-6,-302,1,0,,-460,-476,1,0,,-26,-694,1,0,,,,,,
4,-302,1,0,,4,-302,1,0,,-444,-476,1,0,,-3,-694,1,0,,,,,,
14,-302,1,0,,14,-302,1,0,,-428,-476,1,0,,20,-694,1,0,,,,,,
24,-302,1,0,,24,-302,1,0,,-412,-476,1,0,,43,-694,1,0,,,,,,
34,-302,1,0,,34,-302,1,0,,-397,-476,1,0,,50,-694,1,0,,,,,,
44,-302,1,0,,44,-302,1,0,,-381,-476,1,0,,-650,-538,1,0,,,,,,
50,-302,0,1,,50,-302,0,1,,-365,-476,1,0,,-650,-538,1,0,,,,,,
-650,-745,0,1,,-650,-745,0,1,,-349,-476,1,0,,-633,-538,1,0,,,,,,
-650,-745,0,1,,-650,-745,0,1,,-333,-476,1,0,,-615,-538,1,0,,,,,,
-626,-745,0,1,,-626,-745,0,1,,-317,-476,1,0,,-597,-538,1,0,,,,,,
-601,-745,0,1,,-601,-745,0,1,,-301,-476,1,0,,-579,-538,1,0,,,,,,
-576,-745,0,1,,-576,-745,0,1,,-286,-476,1,0,,-561,-538,1,0,,,,,,
-551,-745,0,1,,-551,-745,0,1,,-270,-476,1,0,,-543,-538,1,0,,,,,,
-526,-745,0,1,,-526,-745,0,1,,-254,-476,0,1,,-525,-538,1,0,,,,,,
-501,-745,0,1,,-501,-745,0,1,,-238,-476,0,1,,-507,-538,0,1,,,,,,
-477,-745,0,1,,-477,-745,0,1,,-222,-476,0,1,,-489,-538,0,1,,,,,,
-452,-745,0,1,,-452,-745,0,1,,-206,-476,1,0,,-471,-538,0,1,,,,,,
-427,-745,0,1,,-427,-745,0,1,,-190,-476,1,0,,-453,-538,0,1,,,,,,
-402,-745,0,1,,-402,-745,0,1,,-174,-476,1,0,,-435,-538,0,1,,,,,,
-377,-745,0,1,,-377,-745,0,1,,-159,-476,1,0,,-417,-538,0,1,,,,,,
-352,-745,0,1,,-352,-745,0,1,,-143,-476,1,0,,-399,-538,0,1,,,,,,
-328,-745,0,1,,-328,-745,0,1,,-127,-476,1,0,,-382,-538,0,1,,,,,,
-303,-745,0,1,,-303,-745,0,1,,-111,-476,1,0,,-364,-538,0,1,,,,,,
-278,-745,0,1,,-278,-745,0,1,,-95,-476,1,0,,-346,-538,0,1,,,,,,
-253,-745,0,1,,-253,-745,0,1,,-79,-476,1,0,,-328,-538,0,1,,,,,,
-228,-745,0,1,,-228,-745,0,1,,-63,-476,1,0,,-310,-538,0,1,,,,,,
-203,-745,1,0,,-203,-745,1,0,,-48,-476,1,0,,-292,-538,0,1,,,,,,
-179,-745,1,0,,-179,-745,1,0,,-32,-476,1,0,,-274,-538,0,1,,,,,,
-154,-745,1,0,,-154,-745,1,0,,-16,-476,1,0,,-256,-538,0,1,,,,,,
-129,-745,1,0,,-129,-745,1,0,,0,-476,1,0,,-238,-538,0,1,,,,,,
-104,-745,1,0,,-104,-745,1,0,,16,-476,1,0,,-220,-538,0,1,,,,,,
-79,-745,1,0,,-79,-745,1,0,,32,-476,1,0,,-202,-538,0,1,,,,,,
-54,-745,1,0,,-54,-745,1,0,,48,-476,1,0,,-184,-538,0,1,,,,,,
-30,-745,1,0,,-30,-745,1,0,,50,-476,1,0,,-166,-538,1,0,,,,,,
-5,-745,1,0,,-5,-745,1,0,,-650,-672,1,0,,-148,-538,1,0,,,,,,
20,-745,1,0,,20,-745,1,0,,-650,-672,1,0,,-130,-538,1,0,,,,,,
45,-745,1,0,,45,-745,1,0,,-628,-672,1,0,,-113,-538,1,0,,,,,,
50,-745,1,0,,50,-745,1,0,,-606,-672,1,0,,-95,-538,1,0,,,,,,
-650,-459,1,0,,-650,-459,1,0,,-583,-672,0,1,,-77,-538,1,0,,,,,,
